"year"	"category"	"n"
"2004"	"clothing, beauty, & fashion"	141
"2004"	"computers & internet"	2489
"2004"	"education"	151
"2004"	"food & drink"	275
"2004"	"grab bag"	285
"2004"	"health & fitness"	379
"2004"	"home & garden"	344
"2004"	"human relations"	245
"2004"	"law & government"	292
"2004"	"media & arts"	825
"2004"	"pets & animals"	127
"2004"	"religion & philosophy"	63
"2004"	"science & nature"	133
"2004"	"shopping"	345
"2004"	"society & culture"	250
"2004"	"sports, hobbies, & recreation"	241
"2004"	"technology"	446
"2004"	"travel & transportation"	491
"2004"	"work & money"	400
"2004"	"writing & language"	241
"2005"	"clothing, beauty, & fashion"	203
"2005"	"computers & internet"	2200
"2005"	"education"	201
"2005"	"food & drink"	324
"2005"	"grab bag"	248
"2005"	"health & fitness"	590
"2005"	"home & garden"	476
"2005"	"human relations"	376
"2005"	"law & government"	264
"2005"	"media & arts"	987
"2005"	"pets & animals"	153
"2005"	"religion & philosophy"	74
"2005"	"science & nature"	195
"2005"	"shopping"	242
"2005"	"society & culture"	296
"2005"	"sports, hobbies, & recreation"	324
"2005"	"technology"	617
"2005"	"travel & transportation"	660
"2005"	"work & money"	515
"2005"	"writing & language"	285
"2006"	"clothing, beauty, & fashion"	195
"2006"	"computers & internet"	2114
"2006"	"education"	190
"2006"	"food & drink"	353
"2006"	"grab bag"	263
"2006"	"health & fitness"	612
"2006"	"home & garden"	379
"2006"	"human relations"	411
"2006"	"law & government"	291
"2006"	"media & arts"	838
"2006"	"pets & animals"	132
"2006"	"religion & philosophy"	85
"2006"	"science & nature"	203
"2006"	"shopping"	208
"2006"	"society & culture"	273
"2006"	"sports, hobbies, & recreation"	360
"2006"	"technology"	528
"2006"	"travel & transportation"	631
"2006"	"work & money"	572
"2006"	"writing & language"	227
"2007"	"clothing, beauty, & fashion"	270
"2007"	"computers & internet"	2094
"2007"	"education"	316
"2007"	"food & drink"	500
"2007"	"grab bag"	381
"2007"	"health & fitness"	803
"2007"	"home & garden"	566
"2007"	"human relations"	603
"2007"	"law & government"	314
"2007"	"media & arts"	1029
"2007"	"pets & animals"	176
"2007"	"religion & philosophy"	86
"2007"	"science & nature"	188
"2007"	"shopping"	287
"2007"	"society & culture"	321
"2007"	"sports, hobbies, & recreation"	434
"2007"	"technology"	634
"2007"	"travel & transportation"	821
"2007"	"work & money"	762
"2007"	"writing & language"	305
